institution.name	institution.code	object_number	title	production.date.start	production.date.end	physical_description	collection	description_level	dimension.free	parts_reference	object_history_note	creator	acquisition.notes	content.person.name.type	content.person.name	content.subject.type	content.subject	accruals	system_of_arrangement	access_category.notes	environmental_condition.notes	part_of_reference	part_of.title	legal status
Black Country Living Museum	1430	KEN/A/1/129	Minutes	1948-04	1948-04	"Minutes of a meeting of the Resale Price Maintenance Committee held at the Board of Trade, London (Mr Kenrick attending)."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/13	Advertising Schedule	1968-04	1968-04	Schedule of advertising for what is presumed to be the Kenrick 'Shepherd' furniture castor campaign from July 1968 to June 1969.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/130	Members List	1911	1955	Names of members of the Cast Iron Holloware Makers' Association expressed as a percentage of the total trade of the Association.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/131	Court Case Response	1844	1844	Reponse to a court case between [T. C. Clarke] and Archibald Kenrick & Sons in connection with a dispute over patent ownership.	Archibald Kenrick & Sons	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/132	General Report	1955	1955	General report on Archibald Kenrick & Sons Limited and its subsidiary companies.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/133	Agreement	1928-07	1928-07	Agreement and Rules & Regulations connected with the membership of Archibald Kenrick & Sons Limited of The Cylinder Lock Manufacturers' Association.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/134	[Solicitors'] Opinion	1915-12	1915-12	[Solicitors'] opinion on a proposed conspiracy and libel case between Archibald Kenrick & Sons Limited and the Ironmongers Federated Association Incorporated.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum		KEN/A/1/135	Correspondence	1928	1936	"Correspondence includes sales figures, new machine plant, an invitation to join the Association of Makers of Enamelled Cast Iron Baths and revised terms and selling conditions with connection to cast-iron bath manufacture by Archibald Kenrick & Sons Limited."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/136	Termination Notice	1899-12	1899-12	Notice from Archibald Kenrick & Sons Limited on behalf of The Anglo-American Tin Stamping Company Limited to terminate the Canadian agency of the company.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/137	Minutes	1964-03	1966-12	Minutes of meetings held by the Board of Management of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Closed for 75 years due to sensitive nature of contents.		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/138	Survey Report	1964-05	1964-05	A survey of Archibald Kenrick & Sons Limited conducted to examine the company and to make recommendations to strengthen and develop it.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/139	Marketing Report	1972-02	1972-02	A report on the relative acceptability of [Kenrick] 'Alpha' and 'Olympicastor' furniture castors in the United Kingdom.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/14	Advertising Schedule	1968	1969	Overseas schedule of advertising for what is presumed to be the Kenrick 'Shepherd' furniture castor campaign for 1968 to 1969.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/140	Report	1972-03	1972-03	Television campaign report for Kenrick 'Shepherd' Minicastor furniture castors.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/141	Report	1969-06	1969-06	Report on the exploratory stage of research into the market for furniture castors on behalf of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/142	Report	1969-12	1969-12	Report on the research into and survey of furniture castors among retailers on behalf of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum		KEN/A/1/143	Report	1969-12	1969-12	Report on the research into and survey of furniture castors among consumers on behalf of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/144	Report	1970-12	1970-12	Report on the research into and survey of furniture castors among furniture manufacturers on behalf of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/145	Report	1969-07	1969-07	Report on qualitative research conducted among factors on behalf of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/146	Research Project	1979-11	1979-11	A qualitiative research project to evaluate test packs for 'Shepherd' castors on behalf of Archiald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/147	Assessment	1975-06	1975-06	A qualitative assessment of the potential for Kenrick products in Kuwait conducted on behalf of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/148	Minutes	1964-02	1964-02	Minutes of meeting to discuss the Archibald Kenrick & Sons Limited Advertising Scheme for Kenrick 'Shepherd' furniture castors to be used in the textile industry.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/149	Report	1971	1971	Report on public relations prepared for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/15	Advertising Scedule	1968-11	1968-11	Schedule of advertising for what is presumed to be the Kenrick 'Shepherd' furniture castor campaign for 1968.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/150	Minutes	1967	1968	Minutes of meetings of the Board of Management of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/151	Survey Report	1968-07	1968-07	Survey report for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/152	Report	1960	1970	A report concerned with the proposed revision for the sales organisation at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/153	Report	1964-11	1964-11	A document referring to proposed control and order processing in relation to customer service for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/154	Report	1965-09	1965-09	Report on the profitability of builders' ironmongery for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/155	Report	1965-10	1965-10	Report on merchandising for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/156	Progress Report	1965-06	1965-06	Progress report on a marketing assignment for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/157	Report	1965-11	1965-11	Report on a review of a marketing assignment for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/158	Product Policy	1965-11	1965-11	Product policy for Archibald Kenrick & Sons Limited.  Includes sales figures and overseas contacts.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/159	Report	1965-04	1965-04	Report on company control for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/16	Advertising Schedule	1969-02	1969-02	Schedule of advertising for what is presumed to be the Kenrick 'Shepherd' furniture castor campaign for 1968 to 1969.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/160	Report	1964-09	1964-09	Report on the role of planned and controlled production in providing satisfactory customer service.  Report includes product flow diagrams.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/161	Design Specifications	1924-01	1924-01	"A list of design specifications for Kenrick manufactured products including date of specification, number, name of [inventor] and description of item."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/162	Survey Report	1964-05	1964-05	A survey of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/163	Shareholders' Reports	1916	1918	Annual reports to the shareholders of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/164	Minutes	1915	1915	Minutes referring to the purchase by Archibald Kenrick & Sons Limited of the freehold of the works and premises from the Birmingham Canal Navigations.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum		KEN/A/1/165	Minutes	1965-04	1968-08	Minutes of the meetings of the Board of Management at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Closed for 50 years from date of earliest document due to sensitive nature of contents.  Review in 2018.		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/166	Minutes	1915	1924	Minutes of the meetings of the Cast Iron Holloware Makers' Association (with Archibald Kenrick & Sons Limited attending).	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open	Spine cover detached from spine.  Urgent conservation required.  Minimal handling required.	KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/167	Minutes	1924-09	1936-06	Minutes of the meetings of the Cast Iron Holloware Makers' Association (with Archibald Kenrick & Sons Limited attending).	Archibald Kenrick & Sons Limited	item	1 iem			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/168	Report	1911-02	1911-02	Report on the effectiveness of 'Ironite' as a waterproofing material.  Ironite Limited was a selling concern of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/169	Agreement	1965	1965	Agreement appointing The Ironite Company Limited as an agent for a manufacturer of fabrications in glass fibre within certain areas of the United Kingdom.  Map of areas included.  The Ironite Company Limited was a selling concern of Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/17	Advertising Schedule	1969-06	1969-06	Schedule of advertising entitled 'National Consumer Plan A' for what is presumed to be the Kenrick 'Shepherd' furniture castor campaign for 1969.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons										KEN/A/1	Mixed Correspondence	
Black Country Living Museum	1430	KEN/A/1/170	Prospectus	1911	1911	A prospectus describing the properties of 'Ironite' - a metallic substance used on buildings to make them waterproof.  The prospectus was produced to request a licence for the manufacturing of the product in the United Kingdom.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/1	Mixed Correspondence	
